name,stats,desc,all_zl,step
"
                家常炒双菇
            ",8.5,"
        简简单单，适合做面🍜浇头了。
      ","新鲜香菇200克,新鲜白蘑菇150克,生抽，老抽，盐，糖，蚝油，玉米淀粉，白胡椒粉，麻油适量","
              新鲜香菇洗净，去根。白蘑菇洗净。
              
            
              新鲜香菇，白蘑菇切片。锅中煮水，水开加适量盐，双菇切片入锅，氽八九分熟，沥出。
              
            
              起油锅，中火，加适量油，入双菇翻炒翻炒片刻。加老抽0.5勺，生抽2勺，蚝油1勺，盐一点点，糖2勺。翻炒翻炒，加适量水，水开，转中小火，盖上锅盖2分钟 (其间准备玉米淀粉，加一点水调试，成水淀粉)出锅前，淋上水淀粉勾芡。加麻油，加白胡椒粉，翻炒几下。
              
            
              家常炒双菇，完成。
              
            "
"
                自制奶茶（爱喝这一杯的，不用去奶茶店了）
            ",7.5,"
        自己在家做奶茶，简单的材料就能做出两大杯！夏天冰镇一下，大热天的来一杯真是放心又过瘾！冬天喝热的，也是暖胃又舒心！😄😄😄
      ","牛奶500ML,红茶包2个,龟苓膏1盒","
              就这三种，两盒牛奶，两个茶包，一盒龟苓膏
              
            
              牛奶和茶包一起放进小奶锅
              
            
              用小火煮牛奶很容易扑锅，全程注意一下
              
            
              煮开之后就关火，让茶包在里面浸泡着喜欢茶味浓一点的也可以多煮一会
              
            
              稍微冷却一下牛奶表面会有奶皮，捞起来吃掉😂😂味道很不错
              
            
              过一下筛，去除剩余奶皮和茶渣
              
            
              龟苓膏在盒子里稍微切一下，放在杯子里
              
            
              倒入过好筛的牛奶，制作完成！稍微凉一下就可以直接喝！喜欢凉的也可以冰镇一下。
              
            
              喜欢甜的可以加蜂蜜，我什么也没加感觉味道刚刚好！
              
            "
"
                蒜蓉粉丝娃娃菜
            ",7.1,"
        这个菜又简单又方便0失败，超级下饭还可以加金针菇，家里没有了就没放鲜美好吃，是我们家的保留家常菜几乎没有人不爱吃的
      ","娃娃菜1颗半（看大小）,粉丝1小把,蒜瓣5瓣,生抽、料酒、蚝油适量","
              粉丝先浸泡，蒜瓣切碎。葱花备用。
              
            
              把粉丝铺下面，娃娃菜切两半铺上面。如果加金针菇也是铺下面。
              
            
              放一点油加热，放入蒜蓉煸炒，加点盐、生抽和蚝油。最后再加点水，因为有粉丝，汤汁多一点比较入味。但别加多了，一点点就好。
              
            
              全部浇到娃娃菜上面。
              
            
              上锅蒸10分钟左右。
              
            
              撒点葱花出锅，色泽漂亮，鲜美入味。
              
            
              开吃喽。
              
            "
"
                素食︶姜黄 花菜烩豆腐
            ",0,"
        “忍”能养福；“忠”能养禄；“乐”能养寿；“动”能养身；“学”能养识；“静”能养心；“勤”能养财；“爱”能养家；“诚”能养友；“善”能养德。个人微信号：Dove1040892558持续更新素食菜谱，感恩食素🌿欢迎分享和转发，感恩🥰🥑 吃素就是慈悲；吃素就是环保；🍠 吃素能够消灾；吃素能够治病；🌽 吃素能够救命；吃素能够延寿；🍎 吃素就是功德，大家一起吃素
      ","材料：水豆腐，秀花菜，红萝卜，小木耳，姜。,调味料：植物油，麻油，姜黄粉，素蚝油，糖，盐，生粉。","
              1、豆腐切小块。秀花菜洗净剪小朵。红萝卜去皮切片。小木耳泡发好。姜切片。
              
            
              2、热锅下油，把豆腐煎至金黄色装起备用。利用余油放入姜片爆香，将秀花菜、小木耳、红萝卜炒香，再放小许热开水，豆腐回锅，下入调味料和姜皇粉稍煮，最后勾芡，洒小许麻油即成。
            "
"
                炒羊肚菌
            ",0,,"羊肚菌八个,盐一勺,大蒜五瓣,酱油一勺,葱一根,姜五片,奥尔良鸡块200克,蚝油一勺,红椒一个,油一勺","
              羊肚菌泡20分钟后剪开洗净泥沙，沥干水分
              
            
              姜蒜切片，红辣椒和葱切段
              
            
              热锅热油一勺，爆香姜葱蒜椒，放鸡块，羊肚菌，加水一碗，盐和生抽，蚝油一勺，大火炒五分钟
              
            
              炒羊肚菌完成
              
            "
"
                清炒西洋菜
            ",0,,"西洋菜350克,盐一勺,蒜三瓣,蚝油一勺,油一勺","
              西洋菜择去黄叶后清洗，对半切开
              
            
              热锅热油一勺爆香蒜
              
            
              加西洋菜翻炒，出水后加蚝油和盐一勺
              
            
              清炒西洋菜完成
              
            "
"
                🍆肉末茄子豆角（拌饭）🍆
            ",0,"
        🌟好吃不腻🌟🌟拌饭神器🌟
      ","茄子1个,牛肉末450克,豆角适量,酱油1勺,盐适量,豆瓣酱1勺,糖适量,蚝油1勺,辣椒油1勺","
              豆角洗净改刀成段，茄子切丁，放少许盐腌制出水，肉末装盘备用
              
            
              热锅冷油，下肉末翻炒至完全变色，装盘备用
              
            
              （不用洗锅）下入茄子、豆角翻炒至变软，下入一勺豆瓣酱翻炒均匀上色
              
            
              加入肉末翻炒，加一碗清水，按各人口味加入盐、蚝油、糖、生抽（酱油）、辣椒油调味，大火烧开后盖盖儿中火焖煮5-10分钟（注意：焖煮时间根据汤汁浓稠/收汁程度调整，建议预留点汤汁拌饭）
              
            
              盛一碗米饭，将烧好的豆角肉末茄子铺在米饭上，开拌！❤️
              
            "
"
                蒜蓉生蚝
            ",0,"
        自己动手更加鲜美。
      ","蒜10瓣,油少许,盐少许,小米辣5个,蚝油1勺,生抽1勺,生蚝20个","
              1、用小刀把生蚝肉与壳分离，用清水洗干净后用把肉放回壳里摆好；
              
            
              2、蒜头，红辣椒分别剁好。热油锅倒入蒜头、红辣椒爆香，倒入小许生抽、蚝油，水，盐调味；
              
            
              3、将爆香的蒜蓉辣椒分别铺在冼干净的生蚝上，整碟放进锅里蒸10分钟；
              
            
              5、美味的蒜蓉辣椒蒸生蚝出锅啦。
              
            "
"
                珍珠丸子
            ",5,"
        珍珠丸子，是一道风味独特的湖北小菜，软糯细嫩，鲜香可口。多少年来，一直是我家歺桌上深受喜爱的保留节目。
      ","糯米半小碗,五花肉馅300克,生抽半汤勺,料酒一汤勺,盐适量,土豆二个,葱姜少许,蘑菇精小半勺","
              开始操作。
              
            
              三七肥瘦的猪肉馅。
              
            
              放入葱姜末。
              
            
              加适量的酱油、盐、蘑菇精和料酒。
              
            
              搅拌均匀。
              
            
              土豆削皮
              
            
              切滚刀块，放入盐和蘑菇精,拌匀。
              
            
              长糯米，提前两小时用温水浸泡。
              
            
              食材备齐。
              
            
              把浸泡水沥干。
              
            
              来回滚动，让肉丸全方位地粘上糯米。
              
            
              把滚好糯米的丸子，放在土豆上。
              
            
              一个个排好。
              
            
              一盘加工好了。
              
            
              放入蒸锅。
              
            
              水烧开，大火蒸半小时，关火后焖五、六分钟。
              
            
              揭盖。
              
            
              出锅了！蒸熟的糯米，它汲足了肉馅的汤汁，如同珍珠一样晶莹剔透，鲜香软糯的珍珠丸子，吃在嘴里，总是令人赞不绝口！最后，垫底的土豆绵绵的，味道也很不错。
              
            "
"
                大盘鸡
            ",8,,"仔鸡1/2只,土豆1个,青椒1个,红椒1个,啤酒1瓶,生姜4-5片,大蒜3-4瓣,辣椒2个,花椒1把,八角2个,桂皮1块,香叶1-2片,生抽2勺,老抽1勺,盐适量","
              备料。青椒、红椒洗净切成块，土豆洗净切滚刀块（清水浸泡或冲洗，去除淀粉），准备其他辅料。
              
            
              处理鸡肉。鸡肉用清水多浸泡冲洗几遍，锅内下姜片和鸡肉，焯水至鸡肉变色后捞出，再次用清水冲洗，沥干或用厨房纸吸水。
              
            
              热锅下油，开中火，下鸡肉，炒至变色，加适量白糖或冰糖翻炒，再加入其他辅料（大蒜、姜片、八角、桂皮、香叶、辣椒、花椒），继续翻炒。
              
            
              倒入一罐啤酒，与鸡肉齐平，不够的可以加适量清水。加老抽、生抽，中火炖15-20分钟左右。
              
            
              再加入土豆炖10分钟左右，后加入红椒、青椒适当翻炒，可根据自己口味再加适量的盐。
              
            
              出锅装盘。最爱炖的酥软的土豆！
              
            "
"
                家常豆腐
            ",7.3,"
        豆腐控看过来，这样做好吃下饭，一碗米饭都不够。 ​
      ","豆腐1块,香菜1棵,黄豆酱2勺,干辣椒3个,葱1段,姜1片,蒜5瓣,蚝油1小勺","
              葱姜蒜切碎，干辣椒切段，香菜切碎.。
              
            
              水开后，加少许盐，放入豆腐块焯水3分钟，捞出沥干。
              
            
              油热放入葱姜蒜干辣椒爆香。
              
            
              放黄豆酱翻炒均匀，加入适量的水。
              
            
              放入豆腐块煮5分钟。
              
            
              加入蚝油，淋上水淀粉，轻轻翻炒防止粘锅。
              
            
              收汁至粘稠，即可装盘，撒上香菜。
              
            "
"
                暖心暖胃的菌菇汤（10分钟超快手）
            ",3,"
        天慢慢转凉，为了刚上一年级的孩子能吃的更好一些，我每天的空闲时间基本都用来研究各种菜了。这个菌菇汤食材简单，味道很鲜美，而且很健康，秋冬季节，简直不要太美好
      ","胡萝卜小半根,蟹味菇或者白玉菇80-100克,豆腐很小的一块,鸡蛋一个,金锣王中王2个,葱一点点,盐2克,耗油一小勺,鸡精适量","
              胡萝卜切几片，热锅凉油炒至断生
              
            
              蟹味菇控干水分加进去翻炒半分钟
              
            
              炒软 差不多了，准备加水
              
            
              一碗水，大家根据食材多少自己调整
              
            
              把火腿肠倒进去，煮开一分钟
              
            
              一个鸡蛋打散
              
            
              切成小块的豆腐加进去
              
            
              煮开，放盐，几滴耗油提鲜   然后加一点鸡精  在煮两分钟
              
            
              葱花加进去，关火   出锅
              
            
              出锅了
              
            
              下午接娃回来时候买的麻椒鸡，一肉一素，还有汤  十几分钟一个晚餐
              
            "
"
                爆炒花甲
            ",8.0,"
        花蛤？花甲？反正都深受广大朋友的喜爱，做法也是各式各样。今天来做一个简单又美味的爆炒花甲❤老人小孩都可以吃哦……
      ","花甲2斤,酱油2勺,料酒1勺,蒜5瓣,香菜2根,葱3根,辣椒4个,生姜3适量","
              买回来的花甲放盐吐沙，然后清洗几次备用
              
            
              冷水下锅，放两三片生姜，一点料酒，煮开两分钟左右，让花甲爆开。
              
            
              捞出清水冲洗，这样更好的把多余的沙清洗干净。
              
            
              热油后蒜蓉姜丝辣椒下锅，（如果喜欢重口味可以放豆瓣酱）
              
            
              倒入花甲翻炒，放适量盐，一丢丢糖，生抽，爆炒
              
            
              出锅前放入葱香菜翻炒……
              
            
              出锅就好了，这样做法小孩老人都可以吃，因为没放什么调料，也不辣。而且味道非常不错。
              
            
              🤣🤣看着是不是能吃两碗饭
              
            "
"
                重庆毛血旺
            ",2,"
        麻辣鲜香，汁浓味足，开胃除湿，巴适得板！
      ","鸭血1盒（约500克）,午餐肉1罐（约350克）,肥肠（熟）150克,黄鳝1条,鲜毛肚（熟）100克,牛百叶50克,青笋1根,黄豆芽500克,郫县红油豆瓣100克,永川豆豉25克,花椒（青+红）各35粒,干辣椒12个,菜籽油160克,十三香10克,五香粉5克,大葱、老姜、蒜头适量,老陈醋、白酒、黄酒少许,辣椒面、白芝麻少许,香菜5根","
              将郫县豆瓣酱、豆豉剁碎，干辣椒切段，大葱、老姜、蒜头切片，花椒先用水清洗一下放置5分钟(炒料时最后放，以防发苦)
              
            
              鸭血切厚片后用开水焯一下、黄鳝去骨后切鳝背并用开水烫掉粘液、午餐肉切厚片、肥肠（熟）切圈、毛肚（熟）切片、牛百叶切片、黄豆芽洗净备用、青笋去皮切斜刀块备用
              
            
              起油锅，先放130克菜籽油，烧至七分热
              
            
              烧热后放入切好的葱姜蒜、郫县豆瓣酱、豆豉、干辣椒，中小火炒5分钟后放入4/5的花椒，继续炒3分钟
              
            
              最后依次老陈醋、白酒、黄酒喷香，再炒1分钟，加水（水要多点）烧开后再放入十三香、五香粉，接着中小火煮再5分钟，让各种料出味
              
            
              开大火，  1、先放黄豆芽，煮开后马上将豆芽捞出放在大汤碗内垫底 （汤要剩在锅中哦😀）      2、在锅中接着依次放入切好的肥肠、午餐肉、鸭血、鳝背、大火煮开2分钟（这回不用再捞出来😜）        3、最后放入切好的毛肚、牛百叶、青笋，大火煮开1分钟，马上关火；整锅倒入刚才垫了黄豆芽的大汤碗中。（注意：调料都是有盐味的，根据自己的口味添加盐或者酱油）
              
            
              锅洗净，接着再起油锅放入30克菜籽油，烧热后依次放入剩余1/5的花椒，改小火爆香后，再放入白芝麻，爆香关火(小心别糊了)，最后放入辣椒面，马上倒在大汤碗最上面（一股香气扑鼻而来）👍
              
            
              👌最后洒上香菜，诱人的重庆毛血旺就完成啦！安逸！巴适得板！
              
            "
"
                小婷下厨房.蜜汁鸡翅
            ",7.9,"
        比可乐鸡翅还要好吃的蜜汁鸡翅😋灿若晨曦 自带阳光🌞为家人烹饪各种美食是个人爱好🥘分享点滴的小确幸是对生活的尊重🌸
      ","鸡翅8到10个,蜂蜜3勺,生抽1勺,老抽或自然鲜酱油1勺,料酒1勺,蚝油1勺,黑胡椒粉少量","
              鸡翅洗净在背上切三刀便于入味，倒入料酒，生抽，蚝油，黑胡椒粉，老抽腌制至少3个小时，如果提前一晚腌制就最好。
              
            
              用温水兑3勺蜂蜜，大概半碗的量
              
            
              锅内倒油，放入鸡翅中火煎，然后翻面
              
            
              至两面煎至金黄色。
              
            
              倒入蜂蜜水，如果前面腌制时间比较短，这里可以适当放点盐和生抽
              
            
              加入蜂蜜水后汤汁会比较稀，鸡翅的颜色比较淡，中火继续烧，直至汤汁收至浓稠后就可以了。
              
            
              装盘，色泽，口感都OK
              
            "
"
                〈溜肉丁〉，能吃几碗饭。欣小厨 😉
            ",6,,"猪肉1斤半,辣椒3个,葱0.2根,姜2片,蒜2瓣,生抽1勺,老抽2-3滴,蒸鱼豉油半勺,糖小半勺,盐适量,鸡精适量,淀粉适量,醋半勺,水适量,啤酒适量","
              猪肉切丁。
              
            
              放入水，啤酒，淀粉。抓匀。
              
            
              不要太厚，也不要太稀。
              
            
              辣椒，切丁。
              
            
              葱姜蒜，切碎。
              
            
              锅热油，中火，下肉炸。
              
            
              全部炸完，大火，再复炸一遍。
              
            
              锅留底油，葱姜蒜爆锅。
              
            
              放入盐，鸡精，糖，醋，生抽，蒸鱼豉油，老抽，水淀粉。
              
            
              放入辣椒。
              
            
              倒入炸好的肉。
              
            
              配着大米饭，太好吃了。
              
            "
"
                最简单的红烧排骨【你肯定会！！！】
            ",7.9,"
        咸甜口哈。炒个糖色。增加颜色。好吧。我说老实话。我没有老抽了。😂那就只能炒糖色增加颜色。
      ","排骨330克,鸡蛋3个,生抽5勺,白糖2大勺,黄酒2勺,姜片5片,香叶2片,桂皮1块","
              一盒排骨。330克。我看了一眼是这个重量。就是烧一碗的量。肋排是3大块。需要再改刀一下。
              
            
              改刀成一块块小块的。顺着骨头来。切断当中软肉地方就行。
              
            
              把排骨冷水放进锅里焯水一下。
              
            
              煮沸之后冲凉水。清洗干净就好。
              
            
              焯好水清洗干净的排骨。
              
            
              煮了3个白煮蛋。一起红烧。😍最最最合适。
              
            
              切几片姜片。家里有啥大料就用啥。香叶和桂皮都放一点儿
              
            
              加水泡着香料水备用。
              
            
              起锅加油加2大勺白糖。炒个糖色。
              
            
              中火慢慢儿熬。大概也就2分钟的样子。糖色就能熬好。熬到这个颜色就可以了。不要再继续了。糊了会有点儿苦的。这样正好。
              
            
              把排骨放进去油糖色里面去裹上糖汁翻炒一下。
              
            
              加入刚刚泡着的大料水。全部倒进去。
              
            
              把3个白煮蛋也放进去。
              
            
              再加入5勺生抽+2勺花雕酒。
              
            
              全部煮起来。加盖子。慢慢儿炖一会儿。大概中小火炖个30分钟的样子。
              
            
              半个小时之后红烧汁就会慢慢儿减少了。
              
            
              再等一会儿汁基本收好了。只有酱汁了。
              
            
              可以翻一下排骨。让排骨每一个面都被鲜美的酱汁包裹着。美妙啊。
              
            
              装盘啦。
              
            
              先来一块咯^_^
              
            
              欣赏2秒。再吃啊😂
              
            
              红烧汁的卤蛋怎么能少呢。
              
            
              简直美妙到飞起啊☺
              
            
              ⊙∀⊙！哇哦。吃吃吃。无敌的好吃啊。
              
            
              锅里的汁不能放过。
              
            
              拌上米饭🍚。巨巨巨好吃。
              
            "
"
                儿子能吃满满一碗饭的肉末豆角
            ",8.2,"
        我家小铎真的是一个十分挑食的孩子，好吃的吃两口，不好吃的一口不吃。但是这个肉末豆角，他拌着饭能吃下一小碗米饭，作娘的已经非常开心了
      ","豆角二十根左右,猪肉200克,胡萝卜半根,红辣椒1个,洋葱两三片,盐适量,猪油适量,白糖适量,料酒适量,蚝油两三滴,生抽半勺,老抽半勺,味精适量","
              材料来个大合照，大概的分量就是这么多。我不是个合格的厨师👩‍🍳
              
            
              热锅下猪油
              
            
              倒入猪肉翻炒，煸出肉香，猪肉呈金黄色后加入一滴蚝油，生抽半勺，老抽半勺，炒匀盛出
              
            
              锅里加猪肉，放入洋葱爆香后加入胡萝卜翻炒半分钟
              
            
              加入豆角翻炒均匀，调入食盐，白糖，少量多次加入开水翻炒，直到豆角呈半透明，豆角一定要炒熟才没有毒性
              
            
              豆角翻炒后加入猪肉末，倒入料酒继续翻炒片刻
              
            
              加味精出锅，香喷喷
              
            "
"
                海带炖豆皮
            ",0,,"海带一盘,豆皮1.5张,蒜4瓣,老抽1勺,白糖半勺,豆瓣酱1勺,盐适量,八角、桂皮适量","
              桂皮掰小块，八角一颗，大蒜压碎，海带豆皮切成2厘米宽条
              
            
              热锅冷油小火，下大蒜香料，煎一分钟
              
            
              倒入海带条，翻炒均匀
              
            
              放入豆皮，拌匀后，加入老抽、豆瓣酱、食盐、白糖
              
            
              翻匀后加入一碗半小碗水，小火慢炖10分钟左右。转大火，汁水收干即可盛出。
              
            
              干香、绵软，一道健康营养的秋冬炖菜。喜欢吃辣的可以和大蒜同时加入干辣椒🌶️爆锅，或者和老抽同时放一勺老干妈辣酱之类。
              
            "
"
                西红柿炒鸡蛋时，多加这一步，鸡蛋香嫩又入味
            ",7.8,"
        大多数时候，我们的生活都平凡单调… 从孩子到工作、从家到公司， 偶尔有其他活动也几乎都是因为孩子 我经常给朋友拍张午餐盒饭的照片调侃玩笑下， 你看，我们平常都过的这么苦逼…但其实，每天这么按部就班的做事情觉得踏实 每天这么一成不变也意味着安稳幸福 越来越不期待波澜和变化，不想要冒进和刺激， 不紧不慢平平淡淡…过好每一天生活越平淡越幸福，美食越家常越经得起岁月。今天咱们就分享一道几乎人人都吃过的家常菜---西红柿炒蛋。西红柿炒鸡蛋非常简单，但是做好却没有那么容易，我这里分享一个小技巧，让你做出来的西红柿炒鸡蛋可以瞬间提升一个档次。
      ","鸡蛋四个,西红柿两个,料酒少许,盐一勺,糖少许","
              准备食材：西红柿两个，鸡蛋四个，（一个稍微大点的西红柿搭配两个鸡蛋，我觉得是最好的比例。）有些朋友会和我说，为什么自己做的西红柿炒蛋，总是没有饭店的味道好。其实西红柿的挑选是决定这道菜好吃与否的关键。西红柿要挑选熟透的那种，握在手里感觉有点点软的才是熟透的，如果是硬邦邦的就不那么容易出汁了，并且炒出来的味道也没有那么好。
              
            
              在西红柿顶部切一个十字花刀，再用开水沿着顶部烫一下，皮就很容易撕下来了。撕去皮，口感更好
              
            
              去皮小窍门。
              
            
              将西红柿切成滚刀块，切面越多越容易出汁。
              
            
              鸡蛋磕入碗内，加入两小勺清水搅拌。（这是鸡蛋更滑嫩的法宝，清水的加入可以让鸡蛋加热的时候变成水蒸气，有一种蒸蛋的感觉，就会做出软软嫩嫩的效果。然后可以加入少许料酒去腥。如果是柴鸡蛋，就不用加料酒了。）
              
            
              先将锅烧至微微冒青烟，再放入一大勺油，将打散的鸡蛋淋入锅中，快成型的时候用筷子迅速搅散。
              
            
              盛出备用。
              
            
              另起锅，放入少许油，先放葱白爆锅，炒出香味后再放西红柿块中火翻炒，炒到西红柿出汤汁。
              
            
              翻炒到西红柿变软，出汁水后放入炒好的鸡蛋，再放入一茶匙糖，适量的盐，翻炒均匀后即可出锅。糖是提鲜的，建议放一点就行。
              
            
              翻炒均匀。
              
            
              出锅前再放入葱绿，鲜香味美的西红柿炒鸡蛋就做好了。今天只有一点点小葱了，但是又懒得出去买了，凑合看吧！
              
            
              简单吧！刚炒出来汤汁并没有这么多，等拍好照片汤汁析出来不少。
              
            
              开吃了
              
            
              这道菜用来拌饭是最棒，老少皆宜，且营养全面。更多美食请关注我公众号：魅力味小厨。
              
            "
"
                客家糯米豆腐酿
            ",8.1,,"豆腐（油果）一斤,胡萝卜半根,玉米半根,糯米250克,香菇7～10朵,猪肉7分瘦3分肥,韭菜100克,油3勺,盐1勺,料酒1勺,生抽1勺,白糖适量","
              1.糯米按平时煮饭一般，水量平时煮饭的一半，煮五分熟即可
              
            
              香菇开水泡15分钟，切丁，胡萝卜切丁
              
            
              猪肉切丁
              
            
              玉米剥粒，韭菜切碎
              
            
              先油热锅，放猪肉，生抽，料酒，盐，白糖，炒五成熟，倒入玉米，香菇，胡萝卜，韭菜，炒匀放入糯米饭，继续炒匀即可
              
            
              准备好的豆腐（油果），有那种专门酿东西的豆腐，里面比较空心一点的。开口，塞入炒匀的糯米饭
              
            
              当当当当～成品！但是还不可以吃喔，还要放蒸锅蒸12分钟左右！相当美味可口，耶！
              
            "
"
                蒜蓉蒸茄子
            ",7.5,"
        烧烤的灵魂菜:蒜蓉茄子，每次烧烤必点！！这里和大家分享一下，家常修改版，味道还胜过不少烧烤店！
      ","茄子1或2个,蒜1团,小米辣2个,香菜1根","
              茄子略做清洗，去蒂，冷水下锅，水沸后，大火蒸10分钟。（根据自己的大小调整，筷子能轻松插过去，就可以了）
              
            
              这边准备蒜蓉酱，一团大蒜、2个小米辣切末备用
              
            
              锅内下油，油温稍热后保持小火，把刚才的料放进去慢慢煎制，感觉蒜水分略微收干后，加两勺耗油，加适量水，保持一种半煎半焖的状态。蒜呈半透明状，就可以了。有芝麻的也可以加点芝麻在里面。关火加适量鸡精、盐、生抽调味。
              
            
              蒸好的茄子略微放凉，就用剪刀剪开，然后把茄子铺开，放到盘子备用。
              
            
              把蒜蓉酱料均匀的涂抹在展开的茄子上，撒上香菜碎就ok了！
              
            "
"
                地三鲜
            ",7.9,"
        时间：约20-25分钟难度：适中
      ","土豆2个,茄子2个,青椒2个,大蒜4瓣,大葱5g,淀粉适量,调料汁,清水30g,生抽15g,老抽3g,白糖3g,淀粉2g","
              碗内依次加入白糖、淀粉、老抽、生抽、清水搅拌均匀备用。
              
            
              土豆去皮洗净切块，茄子和青椒切滚刀块，茄子表面均匀的裹上淀粉备用。
              
            
              锅内加入适量的油，依次将土豆、茄子、青椒过油炸后捞出控油备用。
              
            
              锅内留少许底油，加入葱蒜末爆香后倒入调好的料汁，然后加入炸好的土豆茄子青椒，炒匀即可。
              
            "
"
                金针菇肥牛卷
            ",1,,"金针菇1小把,肥牛片16片,蚝油1勺,生抽2勺,盐少许,蕃茄酱2勺,淀粉半勺,清水半碗,料酒半勺,黑胡椒粉半勺","
              金针菇洗净去根，肥牛片化冻，然后从金针菇中间卷起如图；将所有调味品倒入小碗，加入清水调成料汁（具体比例也可以根据家人口味调整）
              
            
              平底锅倒入少量花生油五成热时，摆入金针菇卷，多面煎制牛肉卷变色，金针菇变软
              
            
              最后倒入料汁，不停翻拌收汁，汤汁煮开浓稠即可，撒上葱花出锅
              
            "
"
                😘家常尖椒炒豆皮，做法简单好吃不长肉，饭桌上常见的一道菜，暖心暖胃。
            ",10,"
        这真是称的上快手菜，而且味道并不逊色，老公孩子和我都喜欢吃，吃米饭馒头都好吃。减肥的宝宝们也放心吃，绝对不会长肉肉。
      ","厚豆皮1张,薄皮青椒2个,姜3片","
              1⃣豆皮和青椒洗净，豆皮切块，青椒掰块。2⃣热锅凉油炝花椒，炝出香味捞出后放入姜片，炒出香味倒入豆皮，翻炒均匀加生抽2勺👉蚝油1勺
              
            
              3⃣炒均匀后倒入开水与豆皮平，之后倒入老抽半勺，把掰好的青椒块放进去，中火炖5分钟倒入水淀粉，大火粘稠收汁即可。
              
            
              香不香？
              
            
              好吃到没朋友。
              
            "
"
                不一样的网红肉沫茄子饼
            ",8.1,"
        最近非常流行的网红菜茄子饼，我觉得和茄盒味道有点像
      ","鸡蛋1个,茄子1个,酱油1勺,肉沫适量,盐适量,葱花适量,淀粉1勺,糖1小点","
              准备一个紫色茄子
              
            
              切成圆片
              
            
              去掉中间的瓤，切成茄子丁
              
            
              肉沫，葱花，鸡蛋，茄子丁，1勺酱油，1勺淀粉，1小点糖，1小点盐搅拌一下
              
            
              锅里放油，放茄子圈，然后用勺子把茄子馅放里面
              
            
              小火煎至两面金黄
              
            
              完成
              
            "
"
                家常小炒猪肝
            ",1,"
        简单方便，猪肝入口爽滑，咸香适囗，喜欢的朋友赶紧来试做！
      ","猪肝500克,洋葱半个,红椒1个,蒜片7－8片,姜丝1块,大葱白2段,生粉少许,料酒1勺,盐少许,鸡蛋1个,胡椒粉适量,豆瓣酱1勺,鸡精1勺,老抽少许,辣椒油适量","
              咱们先准备一块猪肝，把它的筋膜去除，然后切成薄片备用。
              
            
              然后我们将猪肝放入水，料酒和盐，把它抓洗干净去除血水， 然后沥干水分备用。
              
            
              先下来，我们开始腌猪肝，放入少许盐，不要放太多只是增加底味，胡椒粉少许，鸡蛋一个，生粉适量，然后我们将它抓匀最后放入少许的油，这样在过油的时候不会粘锅。
              
            
              然后我们开始准备小料，红椒洋葱切块，姜切丝，蒜切片，大葱白，备在一起。喜欢吃辣的可以加点小米辣。
              
            
              然后准备好辣椒油，哦，这个是我们自己做的，超市里有卖，大家没有的可以不放。
              
            
              然后我们开始起锅制作，先将锅烧热，倒入宽油，然后再倒出，再把宽油倒入，这样做是为了防止猪肝粘锅，《锅一定要烧热》
              
            
              然后油温3－4成，下入猪肝，炸个七八秒捞出即可，如图捞出备用，
              
            
              猪肝捞出后，我们将红椒，洋葱，下入油锅炸三秒捞出即可，别炸太久，把洋葱炸散开就行了，捞出和猪肝一起备用。
              
            
              接着锅内留底油，下入姜蒜片，葱白爆香，炒香后加入豆瓣酱，
              
            
              咱们帮豆瓣酱炒香后，倒入猪肝快速翻炒，开始调味，老抽少许调色，鸡精一勺，然后再加入少许的水，开大火翻炒7－8秒，
              
            
              最后淋入辣椒油，翻炒均匀直接出锅！
              
            
              美味即可，！
              
            "
"
                炝炒绿豆芽，清脆爽口，超快手
            ",11,"
        用时不到十分钟吧，超简单如果这个菜谱帮到了你，欢迎来微信公众号：桔小咪的厨房，更多菜谱和营养小知识，关注我呀🤓
      ","绿豆芽适量,红葱头半个,尖椒1个,干辣椒3-4个,葱姜蒜少量,醋一锅铲,味极鲜一锅铲,盐适量","
              绿豆芽洗净控水备用
              
            
              红葱头和尖椒切丝备用
              
            
              葱姜蒜干辣椒备用
              
            
              油热到六七成热下葱姜蒜干辣椒，小火煸出香味，大火干辣椒容易糊掉，苦
              
            
              煸炒一会儿加入红葱头，改大火爆炒半分钟左右
              
            
              加入绿豆芽和尖椒丝，加入一锅铲生抽，一锅铲醋，适量盐，继续大火爆炒
              
            
              爆炒一两分钟即可出锅
              
            "
"
                素食︶姜黄 花菜烩豆腐
            ",0,"
        “忍”能养福；“忠”能养禄；“乐”能养寿；“动”能养身；“学”能养识；“静”能养心；“勤”能养财；“爱”能养家；“诚”能养友；“善”能养德。个人微信号：Dove1040892558持续更新素食菜谱，感恩食素🌿欢迎分享和转发，感恩🥰🥑 吃素就是慈悲；吃素就是环保；🍠 吃素能够消灾；吃素能够治病；🌽 吃素能够救命；吃素能够延寿；🍎 吃素就是功德，大家一起吃素
      ","材料：水豆腐，秀花菜，红萝卜，小木耳，姜。,调味料：植物油，麻油，姜黄粉，素蚝油，糖，盐，生粉。","
              1、豆腐切小块。秀花菜洗净剪小朵。红萝卜去皮切片。小木耳泡发好。姜切片。
              
            
              2、热锅下油，把豆腐煎至金黄色装起备用。利用余油放入姜片爆香，将秀花菜、小木耳、红萝卜炒香，再放小许热开水，豆腐回锅，下入调味料和姜皇粉稍煮，最后勾芡，洒小许麻油即成。
            "
