title,content,time,vnum,cnum,pic
不看好纯电 本田坚持以混动车型为重心,[汽车之家 行业]  在丰田、大众、宝马、戴姆勒、福特等诸多车企纷纷投入电动化战略时，本田却唱了“反调”。据外媒报道，本田汽车CEO八乡隆弘近日在接受...,5小时前,4072,34,//www3.autoimg.cn/newsdfs/g2/M05/84/33/120x90_0_autohomecar__ChsEml3SB_qASJOaAAD1foe1zjM599.jpg
最大功率530马力 宝马i4更多参数曝光,[汽车之家 新能源]  日前，有海外媒体报道称，宝马透露了旗下全新纯电动轿车宝马i4的更多参数信息：新车驱动系统的最大功率为530马力（英制），即39...,5小时前,1.1万,11,//www2.autoimg.cn/newsdfs/g29/M01/50/57/120x90_0_autohomecar__ChsEfl3R8h2AET82AADQqvnS-0k928.jpg
2021年引入 福特Mustang Mach-E发布,[汽车之家 新车首发]  11月18日，在洛杉矶车展开幕前夕，福特正式发布了旗下的首款纯电动SUV――Mustang Mach-E，这也标志着Must...,5小时前,1.1万,27,//www2.autoimg.cn/newsdfs/g2/M0B/84/02/120x90_0_autohomecar__ChsEml3SAkSAJu-9AACR9RxC8zU666.jpg
荣威Vision-iM Concept于11月22日亮相,[汽车之家 新闻]  日前，上汽荣威官方发布了旗下全新MPV概念车――荣威Vision-iM Concept预告图。新车将以“动大于律”的设计方向，并...,6小时前,5084,37,//www2.autoimg.cn/newsdfs/g3/M00/48/AB/120x90_0_autohomecar__ChsEm13R1_SAVmw-AABi2F-fVTg929.jpg
售27.97-33.97万 凯迪拉克CT5正式上市,[汽车之家 新车上市]  11月18日，凯迪拉克旗下全新中型轿车凯迪拉克CT5正式上市，这款车可以看做是海外CTS的换代车型，未来在市场上将直接与宝马...,6小时前,41.6万,867,//www2.autoimg.cn/newsdfs/g25/M07/AF/13/120x90_0_autohomecar__ChcCr13R-c-AW7RuAAHazFSyrb0389.jpg
“混元设计”理念 东风启辰全新SUV官图,[汽车之家 新车官图]  日前，我们从东风启辰官方获取到了旗下全新紧凑型SUV（代号532）的部分官图，新车将于11月22日开幕的2019广州车展中亮...,6小时前,4.3万,76,//www3.autoimg.cn/newsdfs/g26/M04/51/E2/120x90_0_autohomecar__ChcCP13R9UqAdkH5AAFbB8zOgcY429.jpg
11月22日首发 雷克萨斯纯电动车预告图,[汽车之家 新闻]  日前，雷克萨斯官方发布首款纯电动车型预告图。新车将家族式设计语言融入其中，看起来十分犀利激进。另外根据此前官方公布的信息，新车将...,6小时前,4318,9,//www2.autoimg.cn/newsdfs/g27/M07/50/41/120x90_0_autohomecar__ChsEfF3R8caAas-eAABqCz041BI606.jpg
重点是头尾灯改变 新款奥迪Q5最新谍照,[汽车之家 海外谍照]   日前，我们从海外媒体获得了一组路新款奥迪Q5的最新谍照。据海外媒体推测，新车或将于2020年在海外亮相。    友情提示：...,6小时前,7.2万,43,//www3.autoimg.cn/newsdfs/g29/M00/4F/02/120x90_0_autohomecar__ChsEn13R9seAXlwTAACm0ansJy8505.jpg
定位紧凑型SUV 众泰TS5有望12月下线,[汽车之家 新闻]  日前，我们从众泰官方了解到，旗下全新紧凑型SUV――众泰A16正式定名为TS5，并有望于今年12月份正式下线。新车基于全新ZFA...,6小时前,5634,145,//www3.autoimg.cn/newsdfs/g2/M03/4B/87/120x90_0_autohomecar__ChsEkF3R7rGABSFxAAB4WfQVjBE050.jpg
内饰公布 小鹏P7将于广州车展开启预售,[汽车之家 新车官图]  日前，小鹏汽车官方发布了P7车型的内饰细节图，同时透露，小鹏汽车P7以及小鹏汽车G3 2020款在11月22日广州车展上亮相...,7小时前,1.4万,38,//www2.autoimg.cn/newsdfs/g30/M09/4C/19/120x90_0_autohomecar__ChsEoF3R03GAJakaAAFtiGw3Dno813.jpg
手绘内饰图 全面解读小鹏汽车P7内饰,[汽车之家 新能源] 相比传统燃油车，电动车的研发周期较短，并且新势力车企相对更开放，更愿意频繁曝光，把自己的开发进度拿出来跟用户讲，所以在实车尚未发...,7小时前,1.2万,25,//www2.autoimg.cn/newsdfs/g30/M04/42/73/120x90_0_autohomecar__ChsEf13OeF-AX9PaAADHHhlg5rs872.jpg
全新宝马X6特别版即将亮相2019广州车展,[汽车之家 新闻]  日前，我们从宝马官方获悉，基于全新宝马X6打造的――Vantablack 宝马X6车型将在11月22日举办的2019广州车展进行...,7小时前,1.8万,25,//www2.autoimg.cn/newsdfs/g30/M00/4E/84/120x90_0_autohomecar__ChcCSV3Q1GOAKJDlAAEH4tLMUKo034.jpg
11月29日上市 长安欧尚X7将推6款车型,[汽车之家 新闻]  日前，我们从长安欧尚汽车官方获悉，旗下全新紧凑型SUV――长安欧尚X7将于11月29日在北京人民大会堂正式上市。新车将推出1.5...,7小时前,1.8万,110,//www3.autoimg.cn/newsdfs/g26/M08/FE/AD/120x90_0_autohomecar__ChcCP127jo-AWcsJAAC--Vpm1So821.jpg
才貌双全 解析上汽荣威RX5 MAX灯光,[汽车之家 灯光解读]  随着我国汽车产业日渐繁荣，越来越多的中国品牌已经开始跻身世界品牌之林。而在灯光技术方面，人们对“灯厂”的认知似乎还停留在奥迪...,8小时前,2.2万,83,//www3.autoimg.cn/newsdfs/g2/M0A/32/35/120x90_0_autohomecar__ChcCRF3OwPCAYg8_AAHfxujt_9g504.jpg
title,content,time,vnum,cnum,pic
首推28T豪华型 凯迪拉克CT5购车手册,[汽车之家 购车手册] 凯迪拉克CT5可能是今年成都车展上最热门的车型了，虽然仅仅是在成都车展上进行了外观的披露，但凭借足够抓人的外观设计，它已然成为...,刚刚,0,0,//www2.autoimg.cn/newsdfs/g24/M06/A1/E2/120x90_0_autohomecar__ChsEl13SEQGAHtaVAAJY2YyQvLM439.jpg
轴距达2900mm 新宝骏RS-7申报图曝光,[汽车之家 国内谍照]  日前，我们从工信部获得了新宝骏RS-7申报图。根据品牌最新的命名规则来看，新车定位中大型SUV，采用新宝骏品牌最新的家族式设...,刚刚,2,0,//www3.autoimg.cn/newsdfs/g25/M08/AA/90/120x90_0_autohomecar__ChsEmF3SSoaAPE9eAAEzgqALmGc671.jpg
为电动而来 保时捷百万跑车推专用车险,[汽车之家 行业]  保时捷即将上市的首款纯电动车型Taycan加入了新的车险服务E-Cover，E-Cover服务由保时捷金融服务公司推出，专为电动...,55分钟前,663,2,//www3.autoimg.cn/newsdfs/g29/M04/50/9A/120x90_0_autohomecar__ChsEn13SN6qAeyhlAACwIUZ2Fzk976.jpg
11月28日正式上市 捷途X95现已到店,[汽车之家 新闻]  日前，我们在经销商处拍摄到一组捷途X95的实车图。新车定位为全新中型SUV车型，将于11月28日正式上市。    外观方面，捷途...,1小时前,3614,3,//www2.autoimg.cn/newsdfs/g27/M06/51/CE/120x90_0_autohomecar__ChsEnV3SQ9-AHMGWAAFOYav1LTg715.jpg
搭204马力电机 广汽丰田C-HR EV申报图,[汽车之家 国内谍照]  日前，我们从国家工信部获得了广汽丰田C-HR EV申报图。新车早在2019年上海车展中首发，外观相比燃油版车型有所区别，搭载...,1小时前,1262,8,//www2.autoimg.cn/newsdfs/g25/M02/AE/32/120x90_0_autohomecar__ChsEel3SO42ALMd8AAEVXkbV4iY447.jpg
乘联会预测2020年国内汽车市场增长1%,[汽车之家 行业]  近日，乘用车市场信息联席会（以下简称“乘联会”)秘书长崔东树，对2020年汽车市场进行了分析和展望。根据乘联会会员单位的综合测算...,1小时前,684,3,//www2.autoimg.cn/newsdfs/g26/M00/53/9F/120x90_0_autohomecar__ChcCP13SOnSAVmsSAAHu1-HmvQc738.jpg
或增202kW版 国产特斯拉Model 3申报图,[汽车之家 国内谍照]  日前，我们从工信部获得了国产特斯拉Model 3的申报图。新车在外观方面没有发生任何改变，车尾“特斯拉”字样的中文标识也与之...,1小时前,2894,3,//www2.autoimg.cn/newsdfs/g24/M05/B1/99/120x90_0_autohomecar__ChcCL13SMfOAEwq4AAC-_EIwMfE751.jpg
造型微调 曝新款广汽本田冠道申报图,[汽车之家 国内谍照]  日前，我们从国家工信部获取到了广汽本田冠道中期改款车型的申报图。新车针对外观设计进行了微调，动力上则继续搭载1.5T/2.0...,1小时前,1.1万,26,//www2.autoimg.cn/newsdfs/g2/M08/85/5E/120x90_0_autohomecar__ChsEml3SOnqAYsJyAACtPqc2eFM094.jpg
疑似命名为“星” 启辰全新SUV申报图,[汽车之家 国内谍照]  日前，我们从工信部获得了东风启辰全新紧凑型SUV 532（代号）的申报信息。新车疑似命名为“星”，动力搭载1.5T涡轮增压发...,2小时前,3585,15,//www3.autoimg.cn/newsdfs/g30/M09/4D/DC/120x90_0_autohomecar__ChsEoF3SLcqASli6AAEYXwq8RJg217.jpg
广州车展亮相  新款别克昂科威官图发布,[汽车之家 新车官图]  日前，我们从别克官方获得一组新款昂科威的官图，新车在外观方面较现款车型进行了升级。按照规划，该车将在11月22日举办的201...,2小时前,1.8万,36,//www3.autoimg.cn/newsdfs/g27/M01/51/CD/120x90_0_autohomecar__ChsEfF3SL5SAHt4jAAHCLYgPB24929.jpg
硬朗气质突出 Karma发电动皮卡预告图,[汽车之家 新能源]  日前，万向集团下的Karma汽车发布了一张电动皮卡的预告图，从图中我们看到该车车顶的大体轮廓，平直的线条打造硬朗的气质，此外车...,2小时前,1318,2,//www3.autoimg.cn/newsdfs/g2/M0B/4C/EE/120x90_0_autohomecar__ChsEkF3SLTKAe5ALAABS8sYxxdU993.jpg
庞青年陷入危机？杭州青年汽车正式破产,[汽车之家 行业]  因推出“加水就能跑”的水氢车而广为人知的庞青年目前正面临危机。近日，人民法院公告称，因杭州青年汽车有限公司（以下简称“杭州青年汽...,3小时前,3992,19,//www2.autoimg.cn/newsdfs/g29/M05/53/A7/120x90_0_autohomecar__ChcCSF3SE7-AJBpsAAHfQDnsSgQ472.jpg
将于12月份亮相 长安逸动PLUS官图发布,[汽车之家 新车官图]  日前，我们从长安汽车官方获取到了旗下紧凑型车――逸动PLUS车型官图，新车整体设计时尚。据了解，该车将搭载荣获2019年度“...,4小时前,2.7万,119,//www3.autoimg.cn/newsdfs/g3/M04/56/3E/120x90_0_autohomecar__ChcCRV3SEHKAEf4KAAFKqKATGUA237.jpg
手机关机也能用 宝马推第二代数字密钥,[汽车之家 行业]  宝马的数字密钥技术目前已能够实现车门的解锁与锁定、启动发动机并与他人分享密钥。近日，宝马对这一技术进行了升级，最新一代标准化车辆...,4小时前,1781,2,//www2.autoimg.cn/newsdfs/g25/M05/A9/04/120x90_0_autohomecar__ChsEmF3SCN2AFfyNAABGmclmQZ4605.jpg
11月22日上市 新款星途TX部分配置曝光,[汽车之家 新闻]  日前，我们从官方获悉新款星途TX将在11月22日开幕的2019广州车展中上市。其中，新款星途TX将新增两款车型，星尚两驱版和星享...,4小时前,1.3万,32,//www2.autoimg.cn/newsdfs/g26/M03/4F/8A/120x90_0_autohomecar__ChsEnF3SBneAThaVAAHDHcXSwYI862.jpg
福特与美国汽车工人联合会达成协议,[汽车之家 行业]  近日，美国汽车工人联合会（UAW）与福特汽车公司达成了一份为期四年的新合同。该合同同意福特关闭其位于密歇根的发动机工厂，但同时，...,4小时前,2377,14,//www3.autoimg.cn/newsdfs/g1/M01/6E/DD/120x90_0_autohomecar__ChsEmV3SDbmAKkL1AAETRtKGYEc157.jpg
转向传统4S店？特斯拉将关闭市区体验店,[汽车之家 行业]  据投中网消息，特斯拉正在陆续关闭中国市场位于购物中心等豪华地段的体验店，且负责门店选址部门的多位员工已被裁撤，原业务由充电部门接...,5小时前,1859,2,//www2.autoimg.cn/newsdfs/g30/M01/52/57/120x90_0_autohomecar__ChcCSV3SBT-AEAjTAABaE3tJ5iU815.jpg
采用手工组装 讴歌MDX PMC Edition官图,[汽车之家 新车官图]  日前，讴歌发布了MDX PMC Edition车型的官图。据了解，新车将在2019洛杉矶车展发布。新车在使用MDX顶配车型的...,5小时前,3732,6,//www3.autoimg.cn/newsdfs/g26/M04/4F/89/120x90_0_autohomecar__ChsEnF3SBmyAI__rAAGrUc-C-9s701.jpg
不看好纯电 本田坚持以混动车型为重心,[汽车之家 行业]  在丰田、大众、宝马、戴姆勒、福特等诸多车企纷纷投入电动化战略时，本田却唱了“反调”。据外媒报道，本田汽车CEO八乡隆弘近日在接受...,5小时前,4113,34,//www3.autoimg.cn/newsdfs/g2/M05/84/33/120x90_0_autohomecar__ChsEml3SB_qASJOaAAD1foe1zjM599.jpg
最大功率530马力 宝马i4更多参数曝光,[汽车之家 新能源]  日前，有海外媒体报道称，宝马透露了旗下全新纯电动轿车宝马i4的更多参数信息：新车驱动系统的最大功率为530马力（英制），即39...,5小时前,1.1万,11,//www2.autoimg.cn/newsdfs/g29/M01/50/57/120x90_0_autohomecar__ChsEfl3R8h2AET82AADQqvnS-0k928.jpg
2021年引入 福特Mustang Mach-E发布,[汽车之家 新车首发]  11月18日，在洛杉矶车展开幕前夕，福特正式发布了旗下的首款纯电动SUV――Mustang Mach-E，这也标志着Must...,5小时前,1.1万,27,//www2.autoimg.cn/newsdfs/g2/M0B/84/02/120x90_0_autohomecar__ChsEml3SAkSAJu-9AACR9RxC8zU666.jpg
荣威Vision-iM Concept于11月22日亮相,[汽车之家 新闻]  日前，上汽荣威官方发布了旗下全新MPV概念车――荣威Vision-iM Concept预告图。新车将以“动大于律”的设计方向，并...,6小时前,5405,37,//www2.autoimg.cn/newsdfs/g3/M00/48/AB/120x90_0_autohomecar__ChsEm13R1_SAVmw-AABi2F-fVTg929.jpg
售27.97-33.97万 凯迪拉克CT5正式上市,[汽车之家 新车上市]  11月18日，凯迪拉克旗下全新中型轿车凯迪拉克CT5正式上市，这款车可以看做是海外CTS的换代车型，未来在市场上将直接与宝马...,6小时前,42.0万,871,//www2.autoimg.cn/newsdfs/g25/M07/AF/13/120x90_0_autohomecar__ChcCr13R-c-AW7RuAAHazFSyrb0389.jpg
“混元设计”理念 东风启辰全新SUV官图,[汽车之家 新车官图]  日前，我们从东风启辰官方获取到了旗下全新紧凑型SUV（代号532）的部分官图，新车将于11月22日开幕的2019广州车展中亮...,6小时前,4.4万,76,//www3.autoimg.cn/newsdfs/g26/M04/51/E2/120x90_0_autohomecar__ChcCP13R9UqAdkH5AAFbB8zOgcY429.jpg
11月22日首发 雷克萨斯纯电动车预告图,[汽车之家 新闻]  日前，雷克萨斯官方发布首款纯电动车型预告图。新车将家族式设计语言融入其中，看起来十分犀利激进。另外根据此前官方公布的信息，新车将...,6小时前,4338,9,//www2.autoimg.cn/newsdfs/g27/M07/50/41/120x90_0_autohomecar__ChsEfF3R8caAas-eAABqCz041BI606.jpg
重点是头尾灯改变 新款奥迪Q5最新谍照,[汽车之家 海外谍照]   日前，我们从海外媒体获得了一组路新款奥迪Q5的最新谍照。据海外媒体推测，新车或将于2020年在海外亮相。    友情提示：...,6小时前,7.2万,43,//www3.autoimg.cn/newsdfs/g29/M00/4F/02/120x90_0_autohomecar__ChsEn13R9seAXlwTAACm0ansJy8505.jpg
定位紧凑型SUV 众泰TS5有望12月下线,[汽车之家 新闻]  日前，我们从众泰官方了解到，旗下全新紧凑型SUV――众泰A16正式定名为TS5，并有望于今年12月份正式下线。新车基于全新ZFA...,6小时前,5674,145,//www3.autoimg.cn/newsdfs/g2/M03/4B/87/120x90_0_autohomecar__ChsEkF3R7rGABSFxAAB4WfQVjBE050.jpg
内饰公布 小鹏P7将于广州车展开启预售,[汽车之家 新车官图]  日前，小鹏汽车官方发布了P7车型的内饰细节图，同时透露，小鹏汽车P7以及小鹏汽车G3 2020款在11月22日广州车展上亮相...,7小时前,1.4万,38,//www2.autoimg.cn/newsdfs/g30/M09/4C/19/120x90_0_autohomecar__ChsEoF3R03GAJakaAAFtiGw3Dno813.jpg
手绘内饰图 全面解读小鹏汽车P7内饰,[汽车之家 新能源] 相比传统燃油车，电动车的研发周期较短，并且新势力车企相对更开放，更愿意频繁曝光，把自己的开发进度拿出来跟用户讲，所以在实车尚未发...,7小时前,1.2万,25,//www2.autoimg.cn/newsdfs/g30/M04/42/73/120x90_0_autohomecar__ChsEf13OeF-AX9PaAADHHhlg5rs872.jpg
全新宝马X6特别版即将亮相2019广州车展,[汽车之家 新闻]  日前，我们从宝马官方获悉，基于全新宝马X6打造的――Vantablack 宝马X6车型将在11月22日举办的2019广州车展进行...,7小时前,1.8万,25,//www2.autoimg.cn/newsdfs/g30/M00/4E/84/120x90_0_autohomecar__ChcCSV3Q1GOAKJDlAAEH4tLMUKo034.jpg
11月29日上市 长安欧尚X7将推6款车型,[汽车之家 新闻]  日前，我们从长安欧尚汽车官方获悉，旗下全新紧凑型SUV――长安欧尚X7将于11月29日在北京人民大会堂正式上市。新车将推出1.5...,7小时前,1.8万,111,//www3.autoimg.cn/newsdfs/g26/M08/FE/AD/120x90_0_autohomecar__ChcCP127jo-AWcsJAAC--Vpm1So821.jpg
才貌双全 解析上汽荣威RX5 MAX灯光,[汽车之家 灯光解读]  随着我国汽车产业日渐繁荣，越来越多的中国品牌已经开始跻身世界品牌之林。而在灯光技术方面，人们对“灯厂”的认知似乎还停留在奥迪...,8小时前,2.2万,84,//www3.autoimg.cn/newsdfs/g2/M0A/32/35/120x90_0_autohomecar__ChcCRF3OwPCAYg8_AAHfxujt_9g504.jpg
title,content,time,vnum,cnum,pic
又改款？ 疑似新款别克威朗申报图曝光,[汽车之家 国内谍照]  别克威朗在9月份刚刚完成中期改款，日前在工信部曝光的申报信息中，我们又找到了这款车的身影。不过这次曝光的新款车型采用了新样式...,刚刚,0,0,//www3.autoimg.cn/newsdfs/g24/M04/B2/78/120x90_0_autohomecar__ChcCL13SU0aACmXfAACEoA9cKB4510.jpg
首推28T豪华型 凯迪拉克CT5购车手册,[汽车之家 购车手册] 凯迪拉克CT5可能是今年成都车展上最热门的车型了，虽然仅仅是在成都车展上进行了外观的披露，但凭借足够抓人的外观设计，它已然成为...,6分钟前,24,0,//www2.autoimg.cn/newsdfs/g24/M06/A1/E2/120x90_0_autohomecar__ChsEl13SEQGAHtaVAAJY2YyQvLM439.jpg
轴距达2900mm 新宝骏RS-7申报图曝光,[汽车之家 国内谍照]  日前，我们从工信部获得了新宝骏RS-7申报图。根据品牌最新的命名规则来看，新车定位中大型SUV，采用新宝骏品牌最新的家族式设...,7分钟前,18,1,//www3.autoimg.cn/newsdfs/g25/M08/AA/90/120x90_0_autohomecar__ChsEmF3SSoaAPE9eAAEzgqALmGc671.jpg
为电动而来 保时捷百万跑车推专用车险,[汽车之家 行业]  保时捷即将上市的首款纯电动车型Taycan加入了新的车险服务E-Cover，E-Cover服务由保时捷金融服务公司推出，专为电动...,1小时前,729,2,//www3.autoimg.cn/newsdfs/g29/M04/50/9A/120x90_0_autohomecar__ChsEn13SN6qAeyhlAACwIUZ2Fzk976.jpg
11月28日正式上市 捷途X95现已到店,[汽车之家 新闻]  日前，我们在经销商处拍摄到一组捷途X95的实车图。新车定位为全新中型SUV车型，将于11月28日正式上市。    外观方面，捷途...,1小时前,3927,3,//www2.autoimg.cn/newsdfs/g27/M06/51/CE/120x90_0_autohomecar__ChsEnV3SQ9-AHMGWAAFOYav1LTg715.jpg
搭204马力电机 广汽丰田C-HR EV申报图,[汽车之家 国内谍照]  日前，我们从国家工信部获得了广汽丰田C-HR EV申报图。新车早在2019年上海车展中首发，外观相比燃油版车型有所区别，搭载...,1小时前,1341,9,//www2.autoimg.cn/newsdfs/g25/M02/AE/32/120x90_0_autohomecar__ChsEel3SO42ALMd8AAEVXkbV4iY447.jpg
乘联会预测2020年国内汽车市场增长1%,[汽车之家 行业]  近日，乘用车市场信息联席会（以下简称“乘联会”)秘书长崔东树，对2020年汽车市场进行了分析和展望。根据乘联会会员单位的综合测算...,1小时前,730,3,//www2.autoimg.cn/newsdfs/g26/M00/53/9F/120x90_0_autohomecar__ChcCP13SOnSAVmsSAAHu1-HmvQc738.jpg
或增202kW版 国产特斯拉Model 3申报图,[汽车之家 国内谍照]  日前，我们从工信部获得了国产特斯拉Model 3的申报图。新车在外观方面没有发生任何改变，车尾“特斯拉”字样的中文标识也与之...,1小时前,3165,3,//www2.autoimg.cn/newsdfs/g24/M05/B1/99/120x90_0_autohomecar__ChcCL13SMfOAEwq4AAC-_EIwMfE751.jpg
造型微调 曝新款广汽本田冠道申报图,[汽车之家 国内谍照]  日前，我们从国家工信部获取到了广汽本田冠道中期改款车型的申报图。新车针对外观设计进行了微调，动力上则继续搭载1.5T/2.0...,1小时前,1.2万,27,//www2.autoimg.cn/newsdfs/g2/M08/85/5E/120x90_0_autohomecar__ChsEml3SOnqAYsJyAACtPqc2eFM094.jpg
疑似命名为“星” 启辰全新SUV申报图,[汽车之家 国内谍照]  日前，我们从工信部获得了东风启辰全新紧凑型SUV 532（代号）的申报信息。新车疑似命名为“星”，动力搭载1.5T涡轮增压发...,2小时前,3715,15,//www3.autoimg.cn/newsdfs/g30/M09/4D/DC/120x90_0_autohomecar__ChsEoF3SLcqASli6AAEYXwq8RJg217.jpg
广州车展亮相  新款别克昂科威官图发布,[汽车之家 新车官图]  日前，我们从别克官方获得一组新款昂科威的官图，新车在外观方面较现款车型进行了升级。按照规划，该车将在11月22日举办的201...,2小时前,1.9万,36,//www3.autoimg.cn/newsdfs/g27/M01/51/CD/120x90_0_autohomecar__ChsEfF3SL5SAHt4jAAHCLYgPB24929.jpg
硬朗气质突出 Karma发电动皮卡预告图,[汽车之家 新能源]  日前，万向集团下的Karma汽车发布了一张电动皮卡的预告图，从图中我们看到该车车顶的大体轮廓，平直的线条打造硬朗的气质，此外车...,2小时前,1333,2,//www3.autoimg.cn/newsdfs/g2/M0B/4C/EE/120x90_0_autohomecar__ChsEkF3SLTKAe5ALAABS8sYxxdU993.jpg
